drug_name,active_ingredient,category
ZEDİPİN 4 MG FILM KAPLı TABLET,BENİDİPİN HİDROKLORÜR,Diğer / Sınıflandırılamadı
ATAMET 1000 MG FİLM KAPLI TABLET (ATABAY),METFORMİN HİDROKLORÜR,Diyabet
ATAMET 1000 MG FİLM KAPLI TABLET (WORLD MEDICINE),METFORMİN HİDROKLORÜR,Diyabet
ATAMET 850 MG FİLM KAPLI TABLET (ATABAY),METFORMİN HİDROKLORÜR,Diyabet
ATAMET 850 MG FİLM KAPLI TABLET (WORLD MEDICINE),METFORMİN HİDROKLORÜR,Diyabet
ATAMET 500 MG FİLM KAPLI TABLET (WORLD MEDICINE),METFORMİN HİDROKLORÜR,Diyabet
PARASEDOL 120 MG/5 ML PEDIATRIK ORAL çöZELTI,PARASETAMOL,Ağrı Kesici
ATAMET 500 MG FİLM KAPLI TABLET (ATABAY),METFORMİN HİDROKLORÜR,Diyabet
PARASEDOL 10 MG/ML İ.V. İNFÜZYON ÇÖZELTISI İÇEREN FLAKON,PARASETAMOL,Ağrı Kesici
ABYGA 500 MG FILM KAPLı TABLET,ABIRATERON ASETAT,Diğer / Sınıflandırılamadı
XOLAIR 75 MG/0.5 ML ENJEKSIYONLUK ÇÖZELTI İÇEREN KULLANIMA HAZIR ENJEKTÖR,OMALIZUMAB,Diğer / Sınıflandırılamadı
TROTRAG 50 MG FILM KAPLı TABLET,ELTROMBOPAG OLAMIN,Diğer / Sınıflandırılamadı
SKANİTU 10 MMOL/20 ML ENJEKSİYONLUK ÇÖZELTİ,GADOTERİK ASİT,Diğer / Sınıflandırılamadı
"SKANİTU 7,5 MMOL/15 ML ENJEKSİYONLUK ÇÖZELTİ",GADOTERİK ASİT,Diğer / Sınıflandırılamadı
SKANİTU 5 MMOL/10 ML ENJEKSİYONLUK ÇÖZELTİ,GADOTERİK ASİT,Diğer / Sınıflandırılamadı
BİKTARVY 50 MG/200 MG/25 MG FİLM KAPLI TABLET,"BIKTEGRAVIR SODYUM, EMTRISITABIN, TENOFOVIR ALAFENAMID FUMARAT",Diğer / Sınıflandırılamadı
SIPRAKTIN 2 MG/5 ML ŞURUP,SIPROHEPTADIN,Diğer / Sınıflandırılamadı
DUSPAS 500 MCG FİLM KAPLI TABLET,ROFLUMİLAST,Diğer / Sınıflandırılamadı
SEVONES %100 İNHALASYON ÇÖZELTİSİ,SEVOFLURAN,Diğer / Sınıflandırılamadı
"KLO-SAL %0,05 + %3 MERHEM","KLOBETAZOL PROPIYONAT, SALISILIK ASIT",Diğer / Sınıflandırılamadı
"KLO-SAL %0,05 + %3 LOSYON","KLOBETAZOL PROPIYONAT, SALISILIK ASIT",Diğer / Sınıflandırılamadı
BİCNU 100 MG ENJEKSİYONLUK ÇÖZELTİ İÇİN TOZ,KARMUSTİN,Diğer / Sınıflandırılamadı
ABYGA 250 MG TABLET,ABİRATERON ASETAT,Diğer / Sınıflandırılamadı
MUKOLATİN 200 MG/5 ML ŞURUP HAZIRLAMAK İÇİN TOZ,ASETİLSİSTEİN,Diğer / Sınıflandırılamadı
EMPALFO 10 MG FILM KAPLı TABLET,EMPAGLIFLOZIN,Diğer / Sınıflandırılamadı
EMPALFO 25 MG FILM KAPLı TABLET,EMPAGLIFLOZIN,Diğer / Sınıflandırılamadı
APRANAX 275 MG FILM KAPLI TABLET,NAPROKSEN SODYUM,Ağrı Kesici
DODEMİN 1000 MCG/ML IM ENJEKSİYONLUK ÇÖZELTİ,SİYANOKOBALAMİN (B12 VITAMİNİ),Diğer / Sınıflandırılamadı
"LIFAGRES %5 GöZ DAMLASı, ÇöZELTI",LIFITEGRAST,Diğer / Sınıflandırılamadı
İTOVEBI 9 MG FILM KAPLı TABLET,İNAVOSILIB,Diğer / Sınıflandırılamadı
İTOVEBI 3 MG FILM KAPLı TABLET,İNAVOSILIB,Diğer / Sınıflandırılamadı
"PANLID %1,5 + %1,5 + %5 JEL","MEPIRAMIN MALEAT, LIDOKAIN HIDROKLORüR, DEKSPANTENOL",Diğer / Sınıflandırılamadı
AZİRAS 0.5MG TABLET,RASAJİLİN MESİLAT,Diğer / Sınıflandırılamadı
STRIASCAN 74 MBQ/ML ENJEKSIYONLUK ÇöZELTI,İOFLUPANE ( 123 I),Diğer / Sınıflandırılamadı
LUBİCONST 8 MCG YUMUŞAK KAPSÜL,LUBİPROSTON,Diğer / Sınıflandırılamadı
REKTACOL 250 MG SUPOZİTUVAR,MESALAZİN,Diğer / Sınıflandırılamadı
LUBİCONST 24 MCG YUMUŞAK KAPSÜL,LUBİPROSTON,Diğer / Sınıflandırılamadı
"LAXBOWELL 7,5 MG/ML ORAL DAMLA, ÇöZELTI",SODYUM PIKOSüLFAT,Diğer / Sınıflandırılamadı
TRENICAT 10 MG FILM KAPLı TABLET,DAPAGLIFLOZIN,Diğer / Sınıflandırılamadı
TRENICAT 5 MG FILM KAPLı TABLET,DAPAGLIFLOZIN,Diğer / Sınıflandırılamadı
İSRENO 1 MG / 5 ML ENJEKSİYONLUK / İNFÜZYONLUK ÇÖZELTİ,İZOPROTERENOL (İZOPRENALİN) HİDROKLORÜR,Diğer / Sınıflandırılamadı
"EMLADIPMET 12,5 MG/1000 MG FILM KAPLı TABLET","EMPAGLIFLOZIN, METFORMIN HIDROKLORüR",Diğer / Sınıflandırılamadı
"EMLADIPMET 12,5 MG/850 MG FILM KAPLı TABLET","EMPAGLIFLOZIN, METFORMIN HIDROKLORüR",Diğer / Sınıflandırılamadı
MUCOLATOR 1200MG TOZ IÇEREN SAŞE,ASETILSISTEIN,Diğer / Sınıflandırılamadı
TİOUMİT 18 MCG İNHALASYON İÇİN TOZ İÇEREN KAPSÜL,TİOTROPİUM BROMÜR,Diğer / Sınıflandırılamadı
ZONPAS 50 MG FİLM KAPLI TABLET,PİNAVERYUM BROMÜR,Diğer / Sınıflandırılamadı
URSABAY 250 MG KAPSÜL,URSODEOKSİKOLİK ASİT,Diğer / Sınıflandırılamadı
TALDEROL 60 MG FILM KAPLI TABLET,TİKAGRELOR,Diğer / Sınıflandırılamadı
EPİXX 100 MG/ML ORAL ÇöZELTI,LEVETIRASETAM,Diğer / Sınıflandırılamadı
"LEVERETTE 0,15 MG/0,03 MG FILM KAPLı TABLET",LEVONORGESTREL/ETINIL ESTRADIOL,Diğer / Sınıflandırılamadı
"VYZULTA 0,24 MG/ML GöZ DAMLASı, ÇöZELTI",LATANOPROSTEN BUNOD,Diğer / Sınıflandırılamadı
SUGAVER 200 MG/2 ML I.V. ENJEKSİYONLUK ÇÖZELTİ,SUGAMMADEKS SODYUM,Diğer / Sınıflandırılamadı
"LAXAPİCO 2,5 MG YUMUşAK KAPSüL",SODYUM PIKOSüLFAT,Diğer / Sınıflandırılamadı
TRİMOKS 200MG+40MG/5 ML PEDİATRİK SÜSPANSİYON,SÜLFAMETOKSAZOL-TRİMETOPRİM,Diğer / Sınıflandırılamadı
KLAVUNAT BID 200MG/28 MG ORAL SÜSPANSİYON HAZIRLAMAK İÇİN KURU TOZ,AMOKSİSİLİN TRİHİDRAT- POTASYUM KLAVULANAT,Antibiyotik
KLAVUNAT BID 400MG/57 MG FORTE ORAL SÜSPANSİYON HAZIRLAMAK İÇİN KURU TOZ,AMOKSİSİLİN TRİHİDRAT- POTASYUM KLAVULANAT,Antibiyotik
VEGAFERON 50 MG FILM KAPLı TABLET,DEMİR III HİDROKSİT POLİMALTOZ KOMPLEKSİ,Diğer / Sınıflandırılamadı
NOXAFIL 40MG /ML ORAL SÜSPANSIYON,POSAKONAZOL,Diğer / Sınıflandırılamadı
"BUVICAINE SPINAL HEAVY %0,5 ENJEKSIYONLUK ÇöZELTI",BUPİVAKAİN HİDROKLORÜR,Diğer / Sınıflandırılamadı
UBıKA 10 MG FILM KAPLı TABLET,EMPAGLIFLOZIN,Diğer / Sınıflandırılamadı
UBıKA 25 MG FILM KAPLı TABLET,EMPAGLIFLOZIN,Diğer / Sınıflandırılamadı
"EPICLO-MET 12,5 MG/850 MG FILM KAPLı TABLET","EMPAGLIFLOZIN, METFORMIN HIDROKLORüR",Diğer / Sınıflandırılamadı
EPICLO-MET 5 MG/850 MG FILM KAPLı TABLET,"EMPAGLIFLOZIN, METFORMIN HIDROKLORüR",Diğer / Sınıflandırılamadı
SEVEXİR 625 MG FİLM KAPLI TABLET,KOLESEVELAM HİDROKLORÜR,Diğer / Sınıflandırılamadı
DELSTRİGO 100 MG/300 MG/300 MG FİLM KAPLI TABLET,"DORAVİRİN, LAMİVUDİN, TENOFOVİR DİSOPROKSİL FUMARAT",Diğer / Sınıflandırılamadı
GASOPRES 1 MG I.V. ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN LIYOFILIZE TOZ VE çöZüCü,TERLIPRESSIN ASETAT,Diğer / Sınıflandırılamadı
ACTIVELLE 1 MG/0.5 MG FILM KAPLI TABLET,"ÖSTRADİOL ,NORETİSTERON ASETAT",Diğer / Sınıflandırılamadı
PSENAC 20 MG/5 ML ORAL ÇÖZELTİ,FLUOKSETIN HIDROKLORÜR,Diğer / Sınıflandırılamadı
DEVALJİN 1 G/2 ML I.M./I.V. ENJEKSIYONLUK çöZELTI  IçEREN AMPUL,METAMİZOL SODYUM,Diğer / Sınıflandırılamadı
XOLAIR 150 MG/ML ENJEKSIYONLUK ÇÖZELTI İÇEREN KULLANIMA HAZIR ENJEKTÖR,OMALIZUMAB,Diğer / Sınıflandırılamadı
REMANEST 5 MG ENJEKSIYONLUK/İNFüZYONLUK  ÇöZELTI HAZıRLAMAK İçIN LIYOFILIZE TOZ,REMİFENTANİL HİDROKLORÜR,Diğer / Sınıflandırılamadı
SPAZBEN 10 MG FİLM KAPLI TABLET,SİKLOBENZAPRİN HİDROKLORÜR,Diğer / Sınıflandırılamadı
SPAZBEN 5 MG FİLM KAPLI TABLET,SİKLOBENZAPRİN HİDROKLORÜR,Diğer / Sınıflandırılamadı
TENSART PLUS 16/12.5 MG TABLET,"KANDESARTAN SİLEKSETİL, HİDROKLOROTİYAZID",Kalp/Tansiyon
HEDNAVIR 1 MG FILM KAPLI TABLET,ENTEKAVIR,Diğer / Sınıflandırılamadı
LIPVAKOL 10 MG FILM KAPLI TABLET,SIMVASTATIN,Diğer / Sınıflandırılamadı
XELTABİN 150 MG FİLM KAPLI TABLET,KAPESITABIN,Diğer / Sınıflandırılamadı
XELTABİN 500 MG FİLM KAPLI TABLET,KAPESITABIN,Diğer / Sınıflandırılamadı
"SOGROYA ®  10 MG/1,5 ML ENJEKSIYONLUK ÇöZELTI İçEREN KULLANıMA HAZıR KALEM",SOMAPASITAN,Diğer / Sınıflandırılamadı
"SOGROYA ®  5 MG/1,5 ML ENJEKSIYONLUK ÇöZELTI İçEREN KULLANıMA HAZıR KALEM",SOMAPASITAN,Diğer / Sınıflandırılamadı
PAROL PLUS 250MG/5ML ORAL SÜSPANSIYON,PARASETAMOL,Ağrı Kesici
PAROL 120 MG/5 ML ORAL SÜSPANSİYON,PARASETAMOL,Ağrı Kesici
RINIDIN % 0.05 DOZ AYARLI SPREY,OKSIMETAZOLIN HIDROKLORÜR,Diğer / Sınıflandırılamadı
LEVEMAX 250MG FILM KAPLI TABLET,LEVETIRASETAM,Diğer / Sınıflandırılamadı
LEVEMAX 500MG FILM KAPLI TABLET,LEVETIRASETAM,Diğer / Sınıflandırılamadı
LEVEMAX 1000MG FILM KAPLI TABLET,LEVETIRASETAM,Diğer / Sınıflandırılamadı
LIPVAKOL 40 MG FILM TABLET,SIMVASTATIN,Diğer / Sınıflandırılamadı
LIPVAKOL 20 MG FILM KAPLI TABLET,SIMVASTATIN,Diğer / Sınıflandırılamadı
LARGACTİL 100 MG KAPLI TABLET,KLORPROMAZİN,Diğer / Sınıflandırılamadı
"TEZSPIRE 210 MG/1,91 ML ENJEKSİYONLUK ÇÖZELTİ İÇEREN KULLANIMA HAZIR KALEM",TEZEPELUMAB,Diğer / Sınıflandırılamadı
TAMOL 500 MG TABLET,PARASETAMOL,Ağrı Kesici
"USTEVİA 45 MG/0,5 ML SC ENJEKSIYONLUK ÇöZELTI İçEREN KULLANıMA HAZıR ENJEKTöR",USTEKINUMAB,Diğer / Sınıflandırılamadı
USTEVİA 90 MG/1 ML SC ENJEKSIYONLUK ÇöZELTI İçEREN KULLANıMA HAZıR ENJEKTöR,USTEKINUMAB,Diğer / Sınıflandırılamadı
SUBMEX 25 MG/ML S.C. ENJEKSIYONLUK ÇöZELTI İçEREN KULLANıMA HAZıR ŞıRıNGA,METOTREKSAT,Diğer / Sınıflandırılamadı
PONSTAN FORTE 500 MG FILM KAPLI TABLET,MEFENAMİK ASİT,Diğer / Sınıflandırılamadı
"SUBMEX 20 MG/0,8 ML S.C. ENJEKSIYONLUK ÇöZELTI İçEREN KULLANıMA HAZıR ŞıRıNGA",METOTREKSAT,Diğer / Sınıflandırılamadı
"SUBMEX 15 MG/0,6 ML S.C. ENJEKSIYONLUK ÇöZELTI İçEREN KULLANıMA HAZıR ŞıRıNGA",METOTREKSAT,Diğer / Sınıflandırılamadı
"BİCANA 1,5 MG/5 ML+ 66,5 MG/5 ML ŞURUP","TERBÜTALİN SÜLFAT, GUAİFENESİN",Diğer / Sınıflandırılamadı
HAVRIX ERİŞKİN 1440 EU/1 ML IM ENJEKSİYON İÇİN  SÜSPANSİYON İÇEREN KULLANIMA HAZIR ENJEKTÖR,HEPATİT A VİRÜSÜ İNAKTİVE EDİLMİŞ,Diğer / Sınıflandırılamadı
TYLOL PLUS 500 MG/30 MG TABLET,PARASETAMOL+KAFEİN,Ağrı Kesici
HAVRIX 720 EU/0.5 ML PEDİYATRİK IM ENJEKSIYON İÇIN SÜSPANSIYON İÇEREN KULLANIMA HAZIR ENJEKTÖR,HEPATIT A VIRÜSÜ (INAKTIVE EDILMIŞ),Diğer / Sınıflandırılamadı
FONKSERA 5 MG FİLM KAPLI TABLET,VORTIOKSETIN HIDROBROMüR,Diğer / Sınıflandırılamadı
FONKSERA 10 MG FİLM KAPLI TABLET,VORTIOKSETIN HIDROBROMüR,Diğer / Sınıflandırılamadı
FONKSERA 20 MG FİLM KAPLI TABLET,VORTIOKSETIN HIDROBROMüR,Diğer / Sınıflandırılamadı
COLASTİN-L 10 MG FİLM KAPLI TABLET,ATORVASTATİN KALSİYUM,Kolesterol
MAGNEDUO 365 MG TEK KULLANIMLIK TOZ İÇEREN SAŞE,"MAGNEZYUM KARBONAT, MAGNEZYUM OKSİT",Diğer / Sınıflandırılamadı
GLYXAMBI 10 MG/5 MG FILM KAPLI TABLET,EMPAGLIFLOZIN/LINAGLIPTIN,Diğer / Sınıflandırılamadı
CEREZYME 400 U/10 ML İNFüZYONLUK KONSANTRE ÇöZELTI İçIN  TOZ,IMIGLUSERAZ,Diğer / Sınıflandırılamadı
GLYXAMBI 25 MG/5 MG FILM KAPLI TABLET,EMPAGLIFLOZIN/LINAGLIPTIN,Diğer / Sınıflandırılamadı
"THERMONIDYN %1 + %0,025 JEL","NIMESULID, KAPSAISIN",Diğer / Sınıflandırılamadı
"ESTIMERA 0,25 MG+0,035 MG TABLET",NORGESTIMAT/ETINILESTRADIOL,Diğer / Sınıflandırılamadı
MAKSIPOR 500 MG FILM KAPLI TABLET,SEFALEKSIN MONOHIDRAT,Diğer / Sınıflandırılamadı
ANERVA XR 5 MG/1000 MG FILM KAPLı TABLET,"DAPAGLIFLOZIN, METFORMIN HIDROKLORüR",Diğer / Sınıflandırılamadı
ANERVA XR 10 MG/1000 MG FILM KAPLı TABLET,"DAPAGLIFLOZIN, METFORMIN HIDROKLORüR",Diğer / Sınıflandırılamadı
PROXAR ŞURUP,HEDERA HELIX L. KURU YAPRAK  EKSTRESI,Diğer / Sınıflandırılamadı
İBUJEZIK BABY 60 MG SUPOZITUVAR,İBUPROFEN,Ağrı Kesici
XANAX 0.5 MG TABLET,ALPRAZOLAM,Diğer / Sınıflandırılamadı
XANAX 1 MG TABLET,ALPRAZOLAM,Diğer / Sınıflandırılamadı
SIMVACOR 6 MG DEğIşTIRILMIş SALıMLı SERT KAPSüL,TIZANIDIN HIDROKLORüR,Diğer / Sınıflandırılamadı
ASE-COLD 120 MG+50 MG+1 MG/5 ML PEDIATRIK şURUP,PARASETAMOL+OKSOLAMİN SİTRAT+KLORFENİRAMİN MALEAT,Ağrı Kesici
"FML LIQUIFILM %0.1 GöZ DAMLASı, SüSPANSIYON",FLOROMETOLON,Diğer / Sınıflandırılamadı
BUPRAPAN 150 MG UZATILMIŞ SALIMLI TABLET,BUPROPİYON HİDROKLORÜR,Diğer / Sınıflandırılamadı
"TOMEC %2+%0.5 STERİL GÖZ DAMLASI, ÇÖZELTİ (ÜRETIM YERI: ABDI İBRAHIM İLAç SAN. VE TIC. A.Ş.)",DORZOLAMİD HCL+ TİMOLOL MALEAT,Diğer / Sınıflandırılamadı
MINOSET 500 MG TABLET,PARASETAMOL,Ağrı Kesici
"TOMEC %2+%0.5 STERİL GÖZ DAMLASI, ÇÖZELTİ (ÜRETIM YERI: ROMPHARM İLAç SAN. VE TIC. LTD. ŞTI)",DORZOLAMİD HCL+ TİMOLOL MALEAT,Diğer / Sınıflandırılamadı
"OCATINRAL %1 DERIYE UYGULANACAK SPREY, ÇöZELTI",OKSIKONAZOL NITRAT,Diğer / Sınıflandırılamadı
İBUMENT %5+%3 JEL,"İBUPROFEN, LEVOMENTOL",Ağrı Kesici
BUPRAPAN 300 MG UZATILMIŞ SALIMLI TABLET,BUPROPİYON  HİDROKLORÜR,Diğer / Sınıflandırılamadı
FRADİNE 49 MG/51 MG FİLM KAPLI TABLET,"SAKUBİTRİL SODYUM, VALSARTAN DİSODYUM",Kalp/Tansiyon
FRADİNE 24 MG/26 MG FİLM KAPLI TABLET,"SAKUBİTRİL SODYUM, VALSARTAN DİSODYUM",Kalp/Tansiyon
"TOPIKAZOL %1 DERI SPREYI, ÇöZELTI",EKONAZOL NITRAT,Diğer / Sınıflandırılamadı
TOPIKAZOL %1 KREM,EKONAZOL NITRAT,Diğer / Sınıflandırılamadı
OCATINRAL %1 KREM,OKSIKONAZOL NITRAT,Diğer / Sınıflandırılamadı
SOLARVIT 2.000 I.U. YUMUşAK KAPSüL,KOLEKALSIFEROL (VITAMIN D3),Diğer / Sınıflandırılamadı
SOLARVIT 5.000 I.U. YUMUşAK KAPSüL,KOLEKALSIFEROL (VITAMIN D 3 ),Diğer / Sınıflandırılamadı
DEPAKİN 400 MG/4 ML IV ENJEKSIYONLUK  çöZELTI IçIN LIYOFILIZE TOZ VE çöZüCü,SODYUM VALPROAT,Diğer / Sınıflandırılamadı
POSDİZOL 40 MG/ML ORAL SÜSPANSİYON,POSAKONAZOL,Diğer / Sınıflandırılamadı
SOLARVIT 50.000 I.U. YUMUşAK KAPSüL,KOLEKALSIFEROL  (VITAMIN  D3),Diğer / Sınıflandırılamadı
MAKSIPOR 1 G FILM KAPLı TABLET,SEFALEKSIN MONOHIDRAT,Diğer / Sınıflandırılamadı
ARTIME 10 MG UZATıLMış SALıMLı TABLET,FAMPİRİDİN,Diğer / Sınıflandırılamadı
OLY % 1 SPREY,İZOKONAZOL,Diğer / Sınıflandırılamadı
"GENPRIXA 2,5 MG TABLET",RAMIPRIL,Diğer / Sınıflandırılamadı
GENPRIXA 5 MG TABLET,RAMIPRIL,Diğer / Sınıflandırılamadı
GENPRIXA 10 MG TABLET,RAMIPRIL,Diğer / Sınıflandırılamadı
CYTU 1000 MG/10 ML ENJEKSİYONLUK ÇÖZELTİ İÇEREN FLAKON,SİTARABİN,Diğer / Sınıflandırılamadı
POLİMİSİN 10000 IU/G + 5MG/G GöZ MERHEMI,"OKSİTETRASİKLİN, POLİMİKSİN B SÜLFAT",Diğer / Sınıflandırılamadı
ATARAX 2 MG/ML ŞURUP,HİDROKSİZİN DİHİDROKLORÜR,Diğer / Sınıflandırılamadı
EMLADIPMET 5 MG/1000 MG FILM KAPLı TABLET,"EMPAGLIFLOZIN, METFORMIN HIDROKLORüR",Diğer / Sınıflandırılamadı
EMLADIPMET 5 MG/850 MG FILM KAPLı TABLET,"EMPAGLIFLOZIN, METFORMIN HIDROKLORüR",Diğer / Sınıflandırılamadı
"GLİNDAİR 85 MCG/43 MCG İNHALASYON TOZU, SERT KAPSÜL","İNDAKATEROL MALEAT, GLİKOPİRONYUM BROMÜR",Diğer / Sınıflandırılamadı
FOMİBE 5 MG TABLET,FOLIK ASIT,Diğer / Sınıflandırılamadı
DAPADAPMET XR 5 MG/1000 MG FILM KAPLı TABLET,"DAPAGLIFLOZIN, METFORMIN HIDROKLORüR",Diğer / Sınıflandırılamadı
DAPADAPMET XR 10 MG/1000 MG FILM KAPLı TABLET,"DAPAGLIFLOZIN, METFORMIN HIDROKLORüR",Diğer / Sınıflandırılamadı
"EMBLAVEO 1,5 G/0,5 G İNFüZYONLUK ÇöZELTI HAZıRLAMADA KULLANıLACAK KONSANTRE İçIN TOZ","AZTREONAM BETA, AVIBAKTAM SODYUM",Diğer / Sınıflandırılamadı
PROCALUT 150 MG FILM KAPLI TABLET,BIKALUTAMID,Diğer / Sınıflandırılamadı
FELDEN FLASH 20 MG TABLET,PİROKSİKAM,Diğer / Sınıflandırılamadı
"SERUM FIZYOLOJIK ADEKA %0,9 İZOTONIK SODYUM KLORüR ENJEKSIYONLUK ÇöZELTI, 10 ML",SODYUM KLORÜR,Diğer / Sınıflandırılamadı
"SERUM FIZYOLOJIK ADEKA %0,9 İZOTONIK SODYUM KLORüR ENJEKSIYONLUK ÇöZELTI, 5 ML",SODYUM KLORüR,Diğer / Sınıflandırılamadı
STERıV-C 750 MG/5 ML ENJEKSIYONLUK ÇöZELTI,ASKORBIK ASIT,Diğer / Sınıflandırılamadı
PALBOPOL 125 MG SERT KAPSüL,PALBOSIKLIB,Diğer / Sınıflandırılamadı
ATAZOL 4 MG/5 ML IV  İNFÜZYONLUK ÇÖZELTİ,ZOLEDRONIK ASIT (SUSUZ) (ZOLEDRONIK  ASIT MONOHIDRAT OLARAK),Diğer / Sınıflandırılamadı
"POTRICAL-B %0,005+%0,05 JEL","KALSIPOTRIOL MONOHIDRAT, BETAMETAZON DIPROPIYONAT",Diğer / Sınıflandırılamadı
DELTACORTRİL 5 MG TABLET,PREDNİZOLON,Diğer / Sınıflandırılamadı
SPRYTINIB 20 MG FILM KAPLı TABLET,DASATINIB,Diğer / Sınıflandırılamadı
"SERUM FIZYOLOJIK ADEKA %0,9 İZOTONIK SODYUM KLORüR ENJEKSIYONLUK ÇöZELTI, 2 ML",SODYUM KLORüR,Diğer / Sınıflandırılamadı
SPRYTINIB 80 MG FILM KAPLı TABLET,DASATINIB,Diğer / Sınıflandırılamadı
SPRYTINIB 100 MG FILM KAPLı TABLET,DASATINIB,Diğer / Sınıflandırılamadı
OPTIVATE 500 I.U. I.V. İNFüZYONLUK ÇöZELTI HAZıRLAMAK İçIN TOZ VE ÇöZüCü,İNSAN KOAGÜLASYON FAKTÖRÜ VIII,Diğer / Sınıflandırılamadı
PROCALUT 50 MG FILM KAPLI TABLET,BIKALUTAMID,Diğer / Sınıflandırılamadı
EMPANCE MET 5/1000 MG FİLM KAPLI TABLET,"EMPAGLİFLOZİN, METFORMİN",Diyabet
"EMPANCE MET 12,5 MG/1000 MG FİLM KAPLI TABLET","EMPAGLİFLOZİN, METFORMİN HİDROKLORÜR",Diyabet
AİRTİDE 250/50 MCG İNHALASYON İÇİN TOZ İÇEREN KAPSÜL,"SALMETEROL KSİNAFOAT, FLUTİKAZON PROPİYONAT",Solunum
AİRTİDE 500/50 MCG İNHALASYON İÇİN TOZ İÇEREN KAPSÜL,"SALMETEROL KSİNAFOAT, FLUTİKAZON PROPİYONAT",Solunum
DASAFİX 100 MG FILM KAPLı TABLET,DASATINIB,Diğer / Sınıflandırılamadı
SOLİRON 5 MG FİLM KAPLI TABLET,SOLİFENASİN SÜKSİNAT,Diğer / Sınıflandırılamadı
SOLİRON 10 MG FİLM KAPLI TABLET,SOLİFENASİN SÜKSİNAT,Diğer / Sınıflandırılamadı
KARVEA DUO 150 MG / 10 MG FİLM KAPLI TABLET,"İRBESARTAN, AMLODİPİN",Kalp/Tansiyon
KARVEA DUO 300 MG / 5 MG FİLM KAPLI TABLET,"İRBESARTAN, AMLODİPİN",Kalp/Tansiyon
OXİMİN 10 MG/G + 50 MG/G JEL,"KLİNDAMİSİN FOSFAT, BENZOİL PEROKSİT ANHİDRİT",Diğer / Sınıflandırılamadı
OXOPANE 5 MG KAPSÜL,OKSIKODON HIDROKLORÜR,Diğer / Sınıflandırılamadı
OXOPANE 10 MG KAPSÜL,OKSIKODON HIDROKLORÜR,Diğer / Sınıflandırılamadı
OXOPANE 20 MG KAPSÜL,OKSIKODON HIDROKLORÜR,Diğer / Sınıflandırılamadı
"OFTAMYCİN-DX %0,3+%0,1 GöZ MERHEMI","TOBRAMISIN, DEKSAMETAZON",Diğer / Sınıflandırılamadı
DOLUSEV 50 MG FILM KAPLı TABLET,DOLUTEGRAVIR SODYUM,Diğer / Sınıflandırılamadı
TRIMOKS FORT 800 MG/160 MG TABLET,"SÜLFAMETOKSAZOL, TRIMETOPRIM",Diğer / Sınıflandırılamadı
SANTRA 1 MG FİLM KAPLI TABLET,ANASTROZOL,Diğer / Sınıflandırılamadı
HERNOVIR 400 MG TABLET,ASIKLOVIR,Diğer / Sınıflandırılamadı
RONAP 10 MG FİLM KAPLI TABLET,ROSUVASTATİN KALSİYUM,Kolesterol
RONAP 20 MG FİLM KAPLI TABLET,ROSUVASTATİN KALSİYUM,Kolesterol
AUBAGİO 14 MG FİLM KAPLI TABLET,TERİFLUNOMİD,Diğer / Sınıflandırılamadı
RONAP 40 MG FİLM KAPLI TABLET,ROSUVASTATİN KALSİYUM,Kolesterol
ELIZARIA 300 MG/ 30 ML İNFüZYONLUK ÇöZELTI HAZıRLAMAK İçIN KONSANTRE,ECULIZUMAB,Diğer / Sınıflandırılamadı
"HIDROFER FORT 100 MG/0,35 MG  FİLM KAPLI TABLET",DEMİR (III) HİDROKSİT POLİMALTOZ  KOMPLEKSİ+ FOLİK ASİT,Diğer / Sınıflandırılamadı
RONSENGLOB 5 G/50 ML I.V. İNFÜZYONLUK ÇÖZELTİ İÇEREN FLAKON,İNSAN İMMUNGLOBULİN G (IVIG),Diğer / Sınıflandırılamadı
PAROL 200 MG SUPPOZİTUVAR,PARASETAMOL,Ağrı Kesici
"RETRAST  7,5 MMOL/ 7,5 ML ENJEKSİYONLUK ÇÖZELTİ",GADOBUTROL MONOHİDRAT,Diğer / Sınıflandırılamadı
HIDROFER 50 MG FILM KAPLI TABLET,DEMIR (III) HIDROKSIT POLIMALTOZ KOMPLEKSI,Diğer / Sınıflandırılamadı
HIDROFER 100 MG/5 ML ORAL ÇÖZELTİ,DEMIR (III) HIDROKSIT POLIMALTOZ KOMPLEKSİ,Diğer / Sınıflandırılamadı
"HIDROFER  50  MG/ML  ORAL  DAMLA,  ÇÖZELTİ",DEMIR (III) HIDROKSIT POLIMALTOZ KOMPLEKSI,Diğer / Sınıflandırılamadı
RETRAST 30 MMOL/30 ML ENJEKSIYONLUK ÇÖZELTI,GADOBUTROL MONOHİDRAT,Diğer / Sınıflandırılamadı
RETRAST 15 MMOL/15 ML ENJEKSİYONLUK ÇÖZELTİ,GADOBUTROL MONOHİDRAT,Diğer / Sınıflandırılamadı
"FORADİL-COMBİ FİX 320 MCG/9 MCG İNHALASYON TOZU, SERT KAPSÜL",BUDESONİD - FORMOTEROL FUMARAT DİHİDRAT,Solunum
GLİVEC 400 MG FİLM KAPLI TABLET,İMATİNİB,Diğer / Sınıflandırılamadı
